"First names at birth by sex at birth, selected indicators (Number) 1 2 3 4"
"Frequency: Annual"
"Table: 17-10-0147-01"
"Release date: 2024-09-25"
"Geography: Canada"
""
""

"Geography, place of residence of mother","Canada",,,,,
"ELIZAH","..","..","..","..","..",".."
"ELIZAVETA","..","..","..","..","..",".."
"ELIZE","..","..","..","5","3,197","0.0036"
"ELIZEBETH","..","..","..","..","..",".."
"ELLA","..","..","..","599","26","0.4286"
"ELLAH","..","..","..","..","..",".."
"ELLAINA","..","..","..","..","..",".."
"ELLA-MARIE","..","..","..","..","..",".."
"ELLANA","..","..","..","..","..",".."
"ELLANOR","..","..","..","..","..",".."
"ELLANORA","..","..","..","..","..",".."
"ELLAROSE","..","..","..","..","..",".."
"ELLA-ROSE","..","..","..","11","1,860","0.0079"
"ELLARY","..","..","..","..","..",".."
"ELLE","..","..","..","74","398","0.0529"
"ELLEANOR","..","..","..","..","..",".."
"ELLEE","..","..","..","..","..",".."
"ELLEN","..","..","..","25","998","0.0179"
"ELLENA","..","..","..","6","2,824","0.0043"
"ELLERI","..","..","..","..","..",".."
"ELLERY","..","..","..","17","1,348","0.0122"
"ELLI","..","..","..","5","3,197","0.0036"
"ELLIA","..","..","..","14","1,551","0.0100"
"ELLIANA","..","..","..","94","317","0.0673"
"ELLIANNA","..","..","..","23","1,059","0.0165"
"ELLICE","..","..","..","..","..",".."
"ELLIE","..","..","..","700","14","0.5009"
"ELLIEANNA","..","..","..","..","..",".."
"ELLIE-ANNE","..","..","..","..","..",".."
"ELLIE-MAE","..","..","..","8","2,326","0.0057"
"ELLIE-ROSE","..","..","..","6","2,824","0.0043"
"ELLIET","..","..","..","..","..",".."
"ELLIETTE","..","..","..","8","2,326","0.0057"
"ELLINA","..","..","..","..","..",".."
"ELLIOT","469","49","0.3105","20","1,190","0.0143"
"ELLIOTT","229","134","0.1516","32","830","0.0229"
"ELLIOTTE","..","..","..","8","2,326","0.0057"
"ELLIS","100","310","0.0662","27","944","0.0193"
"ELLISE","..","..","..","..","..",".."
"ELLISON","6","2,614","0.0040","5","3,197","0.0036"
"ELLISSA","..","..","..","..","..",".."
"ELLOISE","..","..","..","6","2,824","0.0043"
"ELLORA","..","..","..","..","..",".."
"ELLOWYN","..","..","..","10","1,992","0.0072"
"ELLY","..","..","..","25","998","0.0179"
"ELLYANA","..","..","..","..","..",".."
"ELLYANNA","..","..","..","..","..",".."
"ELLYN","..","..","..","..","..",".."
"ELLYOT","5","2,931","0.0033","..","..",".."
"ELLYSE","..","..","..","..","..",".."
"ELMA","..","..","..","..","..",".."
"ELMER","..","..","..","..","..",".."
"ELMIRA","..","..","..","..","..",".."
"ELNATHAN","..","..","..","..","..",".."
"ELNAZ","..","..","..","..","..",".."
"ELOAN","7","2,348","0.0046","..","..",".."
"ELOANE","..","..","..","..","..",".."
"ELODIE","..","..","..","190","135","0.1359"
"ELODY","..","..","..","6","2,824","0.0043"
"ELOHIM","9","1,963","0.0060","..","..",".."
"ELOI","259","121","0.1715","..","..",".."
"ELOIC","5","2,931","0.0033","..","..",".."
"ELOICK","..","..","..","..","..",".."
"ELOIK","..","..","..","..","..",".."
"ELOIS","..","..","..","..","..",".."
"ELOISA","..","..","..","..","..",".."
"ELOISE","..","..","..","369","61","0.2640"
"ELOIZE","..","..","..","..","..",".."
"ELON","16","1,299","0.0106","..","..",".."
"ELONA","..","..","..","..","..",".."
"ELORA","..","..","..","148","179","0.1059"
"ELORIE","..","..","..","..","..",".."
"ELOUAN","10","1,815","0.0066","..","..",".."
"ELOUISE","..","..","..","16","1,398","0.0114"
"ELOWEN","..","..","..","18","1,292","0.0129"
"ELOWYN","..","..","..","44","638","0.0315"
"ELOY","..","..","..","..","..",".."
"ELRIC","..","..","..","..","..",".."
"ELRICK","..","..","..","..","..",".."
"ELRIK","..","..","..","..","..",".."
"ELROY","..","..","..","..","..",".."
"ELSA","..","..","..","49","580","0.0351"
"ELSBETH","..","..","..","..","..",".."
"ELSIE","..","..","..","180","142","0.1288"
"ELSON","..","..","..","..","..",".."
"ELSPETH","..","..","..","..","..",".."
"ELSY","..","..","..","..","..",".."
"ELTON","15","1,355","0.0099","..","..",".."
"ELVA","..","..","..","7","2,557","0.0050"
"ELVIN","20","1,117","0.0132","..","..",".."
"ELVINA","..","..","..","..","..",".."
"ELVIRA","..","..","..","7","2,557","0.0050"
"ELVIS","13","1,505","0.0086","..","..",".."
"ELWIN","..","..","..","..","..",".."
"ELWOOD","9","1,963","0.0060","..","..",".."
"ELWYN","5","2,931","0.0033","..","..",".."
"ELY","23","1,019","0.0152","7","2,557","0.0050"
"ELYA","6","2,614","0.0040","20","1,190","0.0143"
"ELYAM","7","2,348","0.0046","..","..",".."
"ELYAN","..","..","..","..","..",".."
"ELYANA","..","..","..","47","601","0.0336"
"ELYANE","..","..","..","11","1,860","0.0079"
"ELYANN","..","..","..","..","..",".."
"ELY-ANN","..","..","..","..","..",".."
"ELYANNA","..","..","..","16","1,398","0.0114"
"ELYANNE","..","..","..","..","..",".."
"ELYAS","28","860","0.0185","..","..",".."
"ELYCIA","..","..","..","..","..",".."
"ELYES","7","2,348","0.0046","..","..",".."
"ELY-JADE","..","..","..","..","..",".."
"ELYJAH","10","1,815","0.0066","..","..",".."
"ELYN","..","..","..","..","..",".."
"ELYNA","..","..","..","9","2,160","0.0064"
"ELYNE","..","..","..","8","2,326","0.0057"
"ELYNN","..","..","..","..","..",".."
"ELYON","11","1,696","0.0073","..","..",".."
"ELYOT","5","2,931","0.0033","..","..",".."
"ELYOTT","5","2,931","0.0033","..","..",".."
"ELYROSE","..","..","..","5","3,197","0.0036"
"ELY-ROSE","..","..","..","6","2,824","0.0043"
"ELYSA","..","..","..","5","3,197","0.0036"
"ELYSABETH","..","..","..","..","..",".."
"ELYSE","..","..","..","51","553","0.0365"
"ELYSHA","..","..","..","..","..",".."
"ELYSIA","..","..","..","10","1,992","0.0072"
"ELYSSA","..","..","..","11","1,860","0.0079"
"ELYSSE","..","..","..","..","..",".."
"ELYSSIA","..","..","..","..","..",".."
"ELYZA","..","..","..","11","1,860","0.0079"
"ELYZABETH","..","..","..","9","2,160","0.0064"
"ELZA","..","..","..","6","2,824","0.0043"
"EMA","..","..","..","19","1,238","0.0136"
"EMAAD","..","..","..","..","..",".."
"EMAAN","10","1,815","0.0066","25","998","0.0179"
"EMAD","7","2,348","0.0046","..","..",".."
"EMALEE","..","..","..","..","..",".."
"EMALEIGH","..","..","..","..","..",".."
"EMALIE","..","..","..","..","..",".."
"EMALYN","..","..","..","..","..",".."
"EMAN","6","2,614","0.0040","15","1,473","0.0107"
"EMANAT","..","..","..","..","..",".."
"EMANUEL","22","1,048","0.0146","..","..",".."
"EMANUELA","..","..","..","..","..",".."
"EMANUELLE","..","..","..","..","..",".."
"EMA-ROSE","..","..","..","..","..",".."
"EMBER","5","2,931","0.0033","106","276","0.0758"
"EMBERLEE","..","..","..","..","..",".."
"EMBERLEIGH","..","..","..","..","..",".."
"EMBERLEY","..","..","..","..","..",".."
"EMBERLY","..","..","..","19","1,238","0.0136"
"EMBERLYN","..","..","..","..","..",".."
"EMBERLYNN","..","..","..","9","2,160","0.0064"
"EMBRY","..","..","..","..","..",".."
"EMELIA","..","..","..","46","607","0.0329"
"EMELIE","..","..","..","..","..",".."
"EMELINE","..","..","..","5","3,197","0.0036"
"EMELY","..","..","..","5","3,197","0.0036"
"EMELYN","..","..","..","7","2,557","0.0050"
"EMERALD","..","..","..","23","1,059","0.0165"
"EMERANCE","..","..","..","..","..",".."
"EMERAUDE","..","..","..","28","912","0.0200"
"EMERIC","10","1,815","0.0066","..","..",".."
"EMERICK","18","1,198","0.0119","..","..",".."
"EMERIE","..","..","..","10","1,992","0.0072"
"EMERIK","..","..","..","..","..",".."
"EMERLY","..","..","..","..","..",".."
"EMERSEN","..","..","..","..","..",".."
"EMERSON","145","223","0.0960","71","407","0.0508"
"EMERSYN","5","2,931","0.0033","75","390","0.0537"
"EMERSYNN","..","..","..","..","..",".."
"EMERY","40","657","0.0265","169","150","0.1209"
"EMERYCK","..","..","..","..","..",".."
"EMERYK","..","..","..","..","..",".."
"EMETT","..","..","..","..","..",".."
"EMI","..","..","..","11","1,860","0.0079"
"EMIE","..","..","..","9","2,160","0.0064"
"EMIKA","..","..","..","..","..",".."
"EMIKO","..","..","..","9","2,160","0.0064"
"EMIL","26","911","0.0172","..","..",".."
"EMILE","399","68","0.2641","..","..",".."
"EMILEE","..","..","..","..","..",".."
"EMILEIGH","..","..","..","..","..",".."
"EMILEY","..","..","..","..","..",".."
"EMILI","..","..","..","..","..",".."
"EMILIA","..","..","..","440","44","0.3148"
"EMILIANA","..","..","..","8","2,326","0.0057"
"EMILIANE","..","..","..","..","..",".."
"EMILIANO","31","796","0.0205","..","..",".."
"EMILIE","..","..","..","81","357","0.0580"
"EMILIEN","15","1,355","0.0099","..","..",".."
"EMILIENNE","..","..","..","..","..",".."
"EMILIE-ROSE","..","..","..","..","..",".."
"EMILIJA","..","..","..","..","..",".."
"EMILIO","74","396","0.0490","..","..",".."
"EMILLY","..","..","..","..","..",".."
"EMILY","..","..","..","588","27","0.4207"
"EMILYA","..","..","..","..","..",".."
"EMILY-ANN","..","..","..","..","..",".."
"EMILY-ANNE","..","..","..","..","..",".."
"EMILYN","..","..","..","..","..",".."
"EMILY-ROSE","..","..","..","..","..",".."
"EMIN","..","..","..","..","..",".."
"EMINA","..","..","..","..","..",".."
"EMIR","25","947","0.0166","..","..",".."
"EMIRA","..","..","..","7","2,557","0.0050"
"EMLYN","..","..","..","..","..",".."
"EMMA","..","..","..","1,416","2","1.0132"
"EMMA-GRACE","..","..","..","..","..",".."
"EMMAH","..","..","..","..","..",".."
"EMMA-JANE","..","..","..","..","..",".."
"EMMA-JEAN","..","..","..","..","..",".."
"EMMALEE","..","..","..","..","..",".."
"EMMA-LEE","..","..","..","..","..",".."
"EMMALEIGH","..","..","..","..","..",".."
"EMMA-LEIGH","..","..","..","..","..",".."
"EMMALIE","..","..","..","..","..",".."
"EMMALINE","..","..","..","7","2,557","0.0050"
"EMMALYN","..","..","..","10","1,992","0.0072"
"EMMALYNN","..","..","..","6","2,824","0.0043"
"EMMA-LYNN","..","..","..","..","..",".."
"EMMA-MARIE","..","..","..","..","..",".."
"EMMANUEL","131","240","0.0867","..","..",".."
"EMMANUELA","..","..","..","..","..",".."
"EMMANUELLA","..","..","..","18","1,292","0.0129"
"EMMANUELLE","..","..","..","30","865","0.0215"
"EMMARIE","..","..","..","..","..",".."
"EMMA-ROSE","..","..","..","60","479","0.0429"
"EMME","..","..","..","5","3,197","0.0036"
"EMMELIA","..","..","..","..","..",".."
"EMMELINE","..","..","..","25","998","0.0179"
"EMMELYN","..","..","..","..","..",".."
"EMMERSON","..","..","..","..","..",".."
"EMMERSYN","..","..","..","5","3,197","0.0036"
"EMMERY","..","..","..","..","..",".."
"EMMET","10","1,815","0.0066","..","..",".."
"EMMETT","350","79","0.2317","..","..",".."
"EMMI","..","..","..","8","2,326","0.0057"
"EMMIE","..","..","..","28","912","0.0200"
"EMMILY","..","..","..","..","..",".."
"EMMIT","..","..","..","..","..",".."
"EMMITT","9","1,963","0.0060","..","..",".."
"EMMY","..","..","..","68","421","0.0487"
"EMMYLOU","..","..","..","8","2,326","0.0057"
"EMMY-ROSE","..","..","..","..","..",".."
"EMNA","..","..","..","12","1,739","0.0086"
"EMORY","12","1,605","0.0079","8","2,326","0.0057"
"EMPRESS","..","..","..","..","..",".."
"EMRAN","6","2,614","0.0040","..","..",".."
"EMRE","8","2,136","0.0053","..","..",".."
"EMREE","..","..","..","..","..",".."
"EMREEN","..","..","..","..","..",".."
"EMRIC","..","..","..","..","..",".."
"EMRICK","19","1,158","0.0126","..","..",".."
"EMRIE","..","..","..","..","..",".."
"EMRIK","..","..","..","..","..",".."
"EMRY","12","1,605","0.0079","6","2,824","0.0043"
"EMRYCK","..","..","..","..","..",".."
"EMRYK","..","..","..","..","..",".."
"EMRYN","..","..","..","7","2,557","0.0050"
"EMRYS","18","1,198","0.0119","9","2,160","0.0064"
"EMSLEY","..","..","..","5","3,197","0.0036"
"EMY","..","..","..","42","665","0.0301"
"EMY-JADE","..","..","..","10","1,992","0.0072"
"EMYL","..","..","..","..","..",".."
"EMYLE","..","..","..","..","..",".."
"EMY-LEE","..","..","..","..","..",".."
"EMYLIA","..","..","..","6","2,824","0.0043"
"EMYLIE","..","..","..","..","..",".."
"EMYROSE","..","..","..","..","..",".."
"EMY-ROSE","..","..","..","21","1,136","0.0150"
"EN","..","..","..","..","..",".."
"ENA","..","..","..","..","..",".."
"ENAYA","..","..","..","6","2,824","0.0043"
"ENAYAT","..","..","..","19","1,238","0.0136"
"ENDER","6","2,614","0.0040","..","..",".."
"ENEKO","..","..","..","..","..",".."
"ENES","..","..","..","..","..",".."
"ENID","..","..","..","..","..",".."
"ENIOLA","..","..","..","..","..",".."
"ENNA","..","..","..","..","..",".."
"ENOCH","31","796","0.0205","..","..",".."
"ENOLA","..","..","..","11","1,860","0.0079"
"ENORA","..","..","..","11","1,860","0.0079"
"ENOS","..","..","..","..","..",".."
"ENRICK","..","..","..","..","..",".."
"ENRICO","7","2,348","0.0046","..","..",".."
"ENRIK","..","..","..","..","..",".."
"ENRIKA","..","..","..","..","..",".."
"ENRIQUE","10","1,815","0.0066","..","..",".."
"ENSLEY","..","..","..","14","1,551","0.0100"
"ENVER","..","..","..","..","..",".."
"ENYA","..","..","..","9","2,160","0.0064"
"ENZA","..","..","..","..","..",".."
"ENZO","296","99","0.1960","..","..",".."
"EOGHAN","..","..","..","..","..",".."
"EOIN","11","1,696","0.0073","..","..",".."
"EON","..","..","..","..","..",".."
"EOWYN","..","..","..","14","1,551","0.0100"
"EPHRAIM","19","1,158","0.0126","..","..",".."
"EPHRAM","..","..","..","..","..",".."
"ERA","..","..","..","12","1,739","0.0086"
"EREN","17","1,244","0.0113","..","..",".."
"ERFAN","10","1,815","0.0066","..","..",".."
"ERIC","128","247","0.0847","..","..",".."
"ERICA","..","..","..","24","1,025","0.0172"
"ERICH","..","..","..","..","..",".."
"ERICK","12","1,605","0.0079","..","..",".."
"ERICKA","..","..","..","..","..",".."
"ERICSON","..","..","..","..","..",".."
"ERIK","52","527","0.0344","..","..",".."
"ERIKA","..","..","..","28","912","0.0200"
"ERIKKA","..","..","..","..","..",".."
"ERIN","..","..","..","41","669","0.0293"
"ERINA","..","..","..","5","3,197","0.0036"
"ERINN","..","..","..","..","..",".."
"ERION","..","..","..","..","..",".."
"ERIQ","..","..","..","..","..",".."
"ERIS","..","..","..","6","2,824","0.0043"
"ERMA","..","..","..","..","..",".."
"ERMIAS","7","2,348","0.0046","..","..",".."
"ERNEST","25","947","0.0166","..","..",".."
"ERNESTO","..","..","..","..","..",".."
"ERNIE","8","2,136","0.0053","..","..",".."
"ERON","5","2,931","0.0033","..","..",".."
"EROS","10","1,815","0.0066","..","..",".."
"ERROL","..","..","..","..","..",".."
"ERUM","..","..","..","..","..",".."
"ERVIN","5","2,931","0.0033","..","..",".."
"ERWAN","..","..","..","..","..",".."
"ERWIN","10","1,815","0.0066","..","..",".."
"ERYK","..","..","..","..","..",".."
"ERYKA","..","..","..","..","..",".."
"ERYKAH","..","..","..","..","..",".."
"ERYN","..","..","..","5","3,197","0.0036"
"ERYNN","..","..","..","..","..",".."
"ERZA","..","..","..","..","..",".."
"ESA","12","1,605","0.0079","..","..",".."
"ESAIE","..","..","..","..","..",".."
"ESDRAS","..","..","..","..","..",".."
"ESEY","8","2,136","0.0053","..","..",".."
"ESHA","..","..","..","..","..",".."
"ESHAAL","..","..","..","14","1,551","0.0100"
"ESHAAN","13","1,505","0.0086","..","..",".."
"ESHAL","..","..","..","7","2,557","0.0050"
"ESHAN","11","1,696","0.0073","..","..",".."
"ESMA","..","..","..","5","3,197","0.0036"
"ESMAE","..","..","..","18","1,292","0.0129"
"ESMAY","..","..","..","5","3,197","0.0036"
"ESME","..","..","..","102","288","0.0730"
"ESMEE","..","..","..","37","735","0.0265"
"ESMERALDA","..","..","..","27","944","0.0193"
"ESMERAY","..","..","..","..","..",".."
"ESPEN","6","2,614","0.0040","..","..",".."
"ESPERANCE","..","..","..","..","..",".."
"ESPERANZA","..","..","..","..","..",".."
"ESRA","..","..","..","13","1,645","0.0093"
"ESRAA","..","..","..","..","..",".."
"ESROM","..","..","..","..","..",".."
"ESSA","14","1,430","0.0093","..","..",".."
"ESSAM","..","..","..","..","..",".."
"ESSENCE","..","..","..","..","..",".."
"ESSEY","..","..","..","..","..",".."
"ESTA","..","..","..","..","..",".."
"ESTEBAN","24","982","0.0159","..","..",".."
"ESTEE","..","..","..","..","..",".."
"ESTELA","..","..","..","..","..",".."
"ESTELLA","..","..","..","16","1,398","0.0114"
"ESTELLE","..","..","..","135","203","0.0966"
"ESTER","..","..","..","..","..",".."
"ESTEVAN","..","..","..","..","..",".."
"ESTHER","..","..","..","149","176","0.1066"
"ESTRELLA","..","..","..","..","..",".."
"ESTY","..","..","..","..","..",".."
"ETERNITY","..","..","..","..","..",".."
"ETHAN","1,012","13","0.6700","..","..",".."
"ETHANIEL","..","..","..","..","..",".."
"ETHEL","..","..","..","5","3,197","0.0036"
"ETHEN","..","..","..","..","..",".."
"ETHIN","..","..","..","..","..",".."
"ETHYN","..","..","..","..","..",".."
"ETIA","..","..","..","..","..",".."
"ETIENNE","59","479","0.0391","..","..",".."
"ETTA","..","..","..","14","1,551","0.0100"
"EUAN","10","1,815","0.0066","..","..",".."
"EUDORA","..","..","..","..","..",".."
"EUGENE","29","837","0.0192","..","..",".."
"EUGENIA","..","..","..","..","..",".."
"EUGENIE","..","..","..","18","1,292","0.0129"
"EUGENIO","..","..","..","..","..",".."
"EUN","..","..","..","..","..",".."
"EUNICE","..","..","..","28","912","0.0200"
"EVA","..","..","..","527","35","0.3771"
"EVAAN","29","837","0.0192","..","..",".."
"EVAELLE","..","..","..","..","..",".."
"EVAH","..","..","..","..","..",".."
"EVALEE","..","..","..","..","..",".."
"EVALIE","..","..","..","16","1,398","0.0114"
"EVALINA","..","..","..","11","1,860","0.0079"
"EVALY","..","..","..","9","2,160","0.0064"
"EVALYN","..","..","..","9","2,160","0.0064"
"EVALYNN","..","..","..","8","2,326","0.0057"
"EVA-MARIE","..","..","..","..","..",".."
"EVA-MAUDE","..","..","..","..","..",".."
"EVAN","376","71","0.2489","5","3,197","0.0036"
"EVANA","..","..","..","44","638","0.0315"
"EVANDER","53","520","0.0351","..","..",".."
"EVANGELIA","..","..","..","..","..",".."
"EVANGELINA","..","..","..","12","1,739","0.0086"
"EVANGELINE","..","..","..","87","332","0.0622"
"EVANGELOS","..","..","..","..","..",".."
"EVANIE","..","..","..","..","..",".."
"EVANN","..","..","..","..","..",".."
"EVANNA","..","..","..","13","1,645","0.0093"
"EVANS","7","2,348","0.0046","..","..",".."
"EVANY","..","..","..","..","..",".."
"EVAROSE","..","..","..","..","..",".."
"EVA-ROSE","..","..","..","28","912","0.0200"
"EVE","..","..","..","118","235","0.0844"
"EVEE","..","..","..","..","..",".."
"EVE-LAURIE","..","..","..","..","..",".."
"EVELEEN","..","..","..","7","2,557","0.0050"
"EVELIN","..","..","..","..","..",".."
"EVELINA","..","..","..","22","1,092","0.0157"
"EVELINE","..","..","..","10","1,992","0.0072"
"EVELY","..","..","..","7","2,557","0.0050"
"EVELYN","..","..","..","698","15","0.4994"
"EVELYNA","..","..","..","..","..",".."
"EVELYNE","..","..","..","115","242","0.0823"
"EVE-LYNE","..","..","..","..","..",".."
"EVELYNN","..","..","..","62","457","0.0444"
"EVELYNNE","..","..","..","..","..",".."
"EVE-MARIE","..","..","..","..","..",".."
"EVEN","..","..","..","..","..",".."
"EVENS","..","..","..","..","..",".."
"EVER","..","..","..","..","..",".."
"EVEREST","23","1,019","0.0152","8","2,326","0.0057"
"EVERET","..","..","..","..","..",".."
"EVERETT","278","113","0.1840","..","..",".."
"EVERETTE","..","..","..","..","..",".."
"EVERHETT","..","..","..","..","..",".."
"EVERITT","..","..","..","..","..",".."
"EVERLEA","..","..","..","..","..",".."
"EVERLEE","..","..","..","51","553","0.0365"
"EVERLEIGH","..","..","..","136","201","0.0973"
"EVERLEY","..","..","..","26","976","0.0186"
